nbh_name,nbh_code,dist_ka,always_excluded,uniqueid,ur,excluded
Kawangware,135,1.102172,1,156410,.93497825,1
Mathare,137,12.90981,,156410,.75004745,1
Mutuini,138,4.212841,1,156410,.1164168,1
Loresho,139,3.2051589,,156410,.94250482,1
Kibera,140,5.1540589,1,156410,.3536638,1
Nairobi National Park,141,15.3189,1,156410,.42398033,1
Kiserian,142,16.455379,1,156410,.70167857,1
Kitisuru,143,7.7834711,,156410,.20140393,0
Githurai,144,20.101919,1,156410,.10590625,1
Kahawa,145,21.95302,1,156410,.69917357,1
Mwiki,146,21.58477,1,156410,.12482636,1
Donholm,147,16.326929,1,156410,.60805517,1
Spring Valley,148,4.9153838,,156410,.93374234,1
Muthaiga,149,11.09676,,156410,.41661656,1
Karura Forest,150,9.1649675,1,156410,.81107837,1
Kariobangi North,151,15.18263,1,156410,.57836998,1
Kariobangi South,152,15.76096,1,156410,.14753011,1
Ruaraka,153,15.69644,1,156410,.91257489,1
Wilson,154,7.9595151,,156410,.69449151,1
Bomas,155,5.8734679,,156410,.35300612,1
Mugumoini,156,6.110126,,156410,.9404676,1
Langata,157,9.1848745,,156410,.56832135,1
GPO,158,7.5143542,,156410,.91641933,1
River road,159,8.3448696,,156410,.44165707,1
Kamkunji,160,9.8535252,,156410,.47025943,1
Ngara,161,8.3098402,,156410,.85479063,1
Eastleigh,162,11.20644,,156410,.64709705,1
City Square,163,8.2906084,,156410,.71562922,1
Makina,164,4.9382,1,156410,.91844547,1
Olympic,165,4.6379561,,156410,.72630149,1
Laini saba,166,6.0931458,1,156410,.6087386,1
Uthiru,167,5.799017,,156410,.63791758,1
Kangemi,168,1.574585,1,156410,.66563231,1
Kikuyu,169,9.5799513,,156410,.92507404,1
Kenyatta,170,6.9733181,,156410,.55372024,1
Komarock,171,17.74538,1,156410,.86342025,1
Kayole,172,18.665649,1,156410,.12849204,1
Ngong road,173,2.837245,,156410,.10430151,0
Hurlingham,174,5.4705768,,156410,.47845703,1
South B,101,10.48585,,156455,.087053522,0
South C,102,9.7029266,,156455,.85538322,1
Langata,103,7.5160408,,156455,.25268102,1
Westlands,104,7.18256,,156455,.53586632,1
Kileleshwa,105,4.0238171,,156455,.22941481,0
Ongata Rongai,106,13.29897,,156455,.39115617,1
Ngong,107,11.48542,,156455,.70036966,1
Karen,108,6.8866038,,156455,.42947862,1
Nakumatt Junction,109,2.213841,,156455,.50659776,1
Lavington,110,1.9570071,,156455,.45536637,1
Yaya Center,111,4.3688922,,156455,.35020518,1
Industrial area,112,12.33165,,156455,.8655892,1
Nyayo Stadium,113,8.4842806,,156455,.79013592,1
Umoja,114,15.97778,1,156455,.81803668,1
Dandora,115,17.66058,1,156455,.68052858,1
Prestige,116,4.5051332,,156455,.29177007,1
Athi river,117,32.232121,1,156455,.76247168,1
Kariobangi,118,15.54692,1,156455,.75771314,1
Woodley,119,3.963275,,156455,.09078104,0
Kasarani,120,19.54389,1,156455,.11588155,1
Mlolongo,121,26.496611,1,156455,.68350929,1
Upperhill,122,7.5210819,,156455,.37011054,1
Jamhuri Estate,123,2.897341,,156455,.35228539,1
Ngummo,124,6.5012379,,156455,.9117012,1
CBD,125,9.981698,,156455,.68497312,1
Syokimau,126,21.52162,1,156455,.46544573,1
Golf course estate,127,5.4355769,1,156455,.79136479,1
Imara Daima,128,15.30609,1,156455,.49450347,1
Embakasi,129,17.030069,1,156455,.70466441,1
JKIA,130,20.80258,1,156455,.30689865,1
Jamhuri/Ngong forest,131,3.946743,1,156455,.57018912,1
Kilimani,132,5.1528668,,156455,.29935703,1
Makadara,133,13.11601,,156455,.82389885,1
Makongeni/kaloleni,134,10.87289,,156455,.2779175,1
Kawangware,135,1.102172,1,156455,.95619553,1
Mathare,137,12.90981,,156455,.53699243,1
Mutuini,138,4.212841,1,156455,.77317399,1
Loresho,139,3.2051589,,156455,.71857083,1
Kibera,140,5.1540589,1,156455,.14607143,1
Nairobi National Park,141,15.3189,1,156455,.39461604,1
Kiserian,142,16.455379,1,156455,.10703672,1
Kitisuru,143,7.7834711,,156455,.58636028,1
Githurai,144,20.101919,1,156455,.16245586,1
Kahawa,145,21.95302,1,156455,.35755104,1
Mwiki,146,21.58477,1,156455,.21303232,1
Donholm,147,16.326929,1,156455,.20005564,1
Spring Valley,148,4.9153838,,156455,.61609113,1
Muthaiga,149,11.09676,,156455,.25767574,1
Karura Forest,150,9.1649675,1,156455,.59327734,1
Kariobangi North,151,15.18263,1,156455,.40576923,1
Kariobangi South,152,15.76096,1,156455,.9457956,1
Ruaraka,153,15.69644,1,156455,.54668117,1
Wilson,154,7.9595151,,156455,.44548744,1
Bomas,155,5.8734679,,156455,.56571037,1
Mugumoini,156,6.110126,,156455,.81586671,1
Langata,157,9.1848745,,156455,.52634078,1
GPO,158,7.5143542,,156455,.48112965,1
River road,159,8.3448696,,156455,.88883108,1
Kamkunji,160,9.8535252,,156455,.70737755,1
Ngara,161,8.3098402,,156455,.66546422,1
Eastleigh,162,11.20644,,156455,.13081394,0
City Square,163,8.2906084,,156455,.19863622,0
Makina,164,4.9382,1,156455,.29672515,1
Olympic,165,4.6379561,,156455,.06986288,0
Laini saba,166,6.0931458,1,156455,.89764154,1
Uthiru,167,5.799017,,156455,.45769322,1
Kangemi,168,1.574585,1,156455,.15370968,1
Kikuyu,169,9.5799513,,156455,.34171152,1
Kenyatta,170,6.9733181,,156455,.46102569,1
Komarock,171,17.74538,1,156455,.21130341,1
Kayole,172,18.665649,1,156455,.80814838,1
Ngong road,173,2.837245,,156455,.87362766,1
Hurlingham,174,5.4705768,,156455,.87488681,1
South B,101,10.48585,,156458,.14655241,0
South C,102,9.7029266,,156458,.65443319,1
Langata,103,7.5160408,,156458,.66241884,1
Westlands,104,7.18256,,156458,.79169571,1
Kileleshwa,105,4.0238171,,156458,.89076775,1
Ongata Rongai,106,13.29897,,156458,.28925258,1
Ngong,107,11.48542,,156458,.59103841,1
Karen,108,6.8866038,,156458,.56181169,1
Nakumatt Junction,109,2.213841,,156458,.67414886,1
Lavington,110,1.9570071,,156458,.6275695,1
Yaya Center,111,4.3688922,,156458,.31515437,1
Industrial area,112,12.33165,,156458,.29513818,1
Nyayo Stadium,113,8.4842806,,156458,.98916632,1
Umoja,114,15.97778,1,156458,.44725245,1
Dandora,115,17.66058,1,156458,.4090015,1
Prestige,116,4.5051332,,156458,.71510625,1
Athi river,117,32.232121,1,156458,.032572668,1
Kariobangi,118,15.54692,1,156458,.6090042,1
Woodley,119,3.963275,,156458,.76568663,1
Kasarani,120,19.54389,1,156458,.43688831,1
Mlolongo,121,26.496611,1,156458,.57268548,1
Upperhill,122,7.5210819,,156458,.87983501,1
Jamhuri Estate,123,2.897341,,156458,.71273351,1
Ngummo,124,6.5012379,,156458,.44869167,1
CBD,125,9.981698,,156458,.75051838,1
Syokimau,126,21.52162,1,156458,.38297653,1
Golf course estate,127,5.4355769,1,156458,.23761152,1
Imara Daima,128,15.30609,1,156458,.97267783,1
Embakasi,129,17.030069,1,156458,.6382038,1
JKIA,130,20.80258,1,156458,.452005,1
Jamhuri/Ngong forest,131,3.946743,1,156458,.5127992,1
Kilimani,132,5.1528668,,156458,.49367416,1
Makadara,133,13.11601,,156458,.66097242,1
Makongeni/kaloleni,134,10.87289,,156458,.36862442,1
Kawangware,135,1.102172,1,156458,.15618591,1
Mathare,137,12.90981,,156458,.024605457,0
Mutuini,138,4.212841,1,156458,.63587767,1
Loresho,139,3.2051589,,156458,.86302459,1
Kibera,140,5.1540589,1,156458,.93622154,1
Nairobi National Park,141,15.3189,1,156458,.65894026,1
Kiserian,142,16.455379,1,156458,.058363177,1
Kitisuru,143,7.7834711,,156458,.66078967,1
